AICAR,VCAM1_rna,TEFM_rna,RP11-727A23.5_rna,FAM72C_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camptothecin,NDE1_rna,NDUFAF5_rna,TMC5_rna,CNOT6_rna,MSH6_rna,C16orf58_rna,SLC17A4_rna,RCAN1_rna,SMCP_rna,SOCS5_rna,CCL19_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinblastine,XYLT2_rna,CEACAM6_rna,GLI1_rna,RAP2A_rna,RGS10_rna,SEC24D_rna,CACNA1D_rna,SNF8_rna,FOXL2_rna,OLFML2A_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicalutamide,NEDD4_rna,ARHGDIB_rna,ABCB7_rna,DIAPH3_rna,RHOC_rna,NRIP1_rna,MIR3680-2_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS11,HMGB3_rna,HAGH_rna,TRIB3_rna,CCKBR_rna,HPSE2_rna,METTL7A_rna,LOC102724163_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midostaurin,UBE2I_rna,NPC2_rna,CHRM3_rna,SWAP70_rna,MYOF_rna,ST18_rna,RBMS1_rna,BCOR_rna,ANXA4_rna,LINC00574_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIR-99021,HGF_rna,LMO3_rna,MCF2L2_rna,VNN3_rna,EPB41L4B_rna,SEC14L3_rna,FGL1_rna,ACSS3_rna,GPLD1_rna,HS3ST2_rna,TAS2R16_rna,DNAJB12_rna,OTUD3_rna,FSHR_rna,ADIPOQ_rna,ANKS1B_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-24534,DLEC1_rna,KLF6_rna,MTHFSD_rna,SCG3_rna,KYNU_rna,RAB11FIP5_rna,CTDSP1_rna,RAB31_rna,LONRF3_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNK-9L,CENPQ_rna,PRKACB_rna,ANO10_rna,S100P_rna,FANCA_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-562271,BCAT1_rna,SYT17_rna,ARHGAP22_rna,SERPINE2_rna,MMP14_rna,MAML1_rna,MKL2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMOG,TSG101_rna,SLC1A3_rna,FBXO7_rna,MDH2_rna,SOCS6_rna,NAGA_rna,LRRC4C_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTI-277,FMO3_rna,GUCA2B_rna,TBX21_rna,SLCO1A2_rna,LAMB1_rna,GLRA2_rna,MYH3_rna,CD101_rna,BCMO1_rna,OSBPL10_rna,TEX30_rna,GRIK3_rna,MAB21L2_rna,NCR1_rna,ZNF334_rna,MCF2L-AS1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSU-03012,PYCARD_rna,PPARGC1A_rna,MRPL34_rna,ASRGL1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shikonin,GCK_rna,CNTRL_rna,CDKN1A_rna,CCDC33_rna,OR1E3P_rna,ASAP2_rna,TMPRSS15_rna,NELL1_rna,ZNF891_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT inhibitor VIII,SCG3_rna,MAU2_rna,PLCE1_rna,NCK1_rna,SERINC5_rna,SFTPB_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embelin,SPATA20_rna,CAPG_rna,PARP12_rna,CELSR1_rna,RBMS2_rna,PCIF1_rna,NOL4_rna,PYCARD_rna,GSDMD_rna,ERBB2IP_rna,CNTRL_rna,HELLS_rna,RAC2_rna,DRAM1_rna,DIAPH3_rna,RBPMS_rna,ERAP2_rna,PCSK1_rna,MAGEL2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH535,SPATA20_rna,FRY_rna,DOPEY1_rna,NMU_rna,ALMS1_rna,HELLS_rna,ANXA11_rna,RASL11B_rna,TNS3_rna,NUSAP1_rna,SKP2_rna,PEX10_rna,EPB41_rna,CSTB_rna,BDH1_rna,GJB1_rna,ETV4_rna,POLE_rna,ANXA4_rna,ETV5_rna,ZNF345_rna,ALOX12P2_rna,ZBTB8OS_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,
pac-1,NAPG_rna,GPR110_rna,UBE2N_rna,ERN1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPA-3,BCAP29_rna,RBMS2_rna,OSBPL10_rna,DNAAF1_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSK-650394,DOCK6_rna,MME_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY 61-3606,TRAPPC6A_rna,G6PC3_rna,PEX14_rna,COG7_rna,LAMA2_rna,ORM2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thapsigargin,HSD17B6_rna,USP33_rna,CDC7_rna,RELB_rna,COX7A2_rna,CD97_rna,SERPINB6_rna,SLC35D2_rna,RAB33A_rna,YTHDF1_rna,HMGA2_rna,DOCK1_rna,TRIM36_rna,PDP1_rna,TPM4_rna,TRIM8_rna,PCSK1_rna,CCDC85B_rna,MARC1_rna,ANXA4_rna,ETV5_rna,ELTD1_cnv,NEGR1-IT1_cnv,ZZZ3_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,
Obatoclax Mesylate,HGF_rna,VCL_rna,CRMP1_rna,PPP1R12B_rna,KCNC1_rna,RHBDF2_rna,TRIM36_rna,TPM4_rna,LDLRAD4_rna,DDX28_rna,ANXA4_rna,ZZZ3_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMS-754807,CNTRL_rna,RNF6_rna,TUBG1_rna,ACBD3_rna,ABCA11P_rna,MIR548I4_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSI-906,RASGRF1_rna,CNTRL_rna,G0S2_rna,EPHA2_rna,SCN3A_rna,PPP1R9A_cnv,SEMA3A_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexarotene,RFC2_rna,IKBKAP_rna,ITGB5_rna,PCIF1_rna,GSE1_rna,OSBPL10_rna,SKP2_rna,DDX46_rna,TAF5_rna,TMSB15A_rna,S100P_rna,ETV4_rna,SLC25A21_rna,GPR19_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
