drugName,AUC,MCC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
CCT007093,0.897,0.58744760564807,0.783333333333333,0.563818011257036,0.422164338291916,0.961834054584211,0.516666666666667,0.125673554632869,0.832936239775539,0.795,0.77,0.799166666666667,0.815833333333333,0.799166666666667,0.795,0.777348762348762,0.494444444444444,0.392222222222222,0.506666666666667,0.7825
EHT 1864,0.761,0.379093068259125,0.688611111111111,0.370263157894737,0.338624076304752,0.923118771495669,0.516666666666667,0.268971145596048,0.87136502770909,0.65,0.72,0.712142857142857,0.676904761904762,0.712142857142857,0.65,0.667777777777778,0.494444444444444,0.323888888888889,0.464722222222222,0.685
BMS-708163,0.76125,0.323143806703542,0.654166666666667,0.314721254355401,0.326182813928744,0.887690718758962,0.516666666666667,0.382395647769149,0.877966659794854,0.655,0.66,0.645238095238095,0.686666666666667,0.645238095238095,0.655,0.639126984126984,0.494444444444444,0.320277777777778,0.491944444444444,0.6575
PF-4708671,0.838,0.581906408114218,0.777222222222222,0.556027313582617,0.428540779874861,0.949253394481674,0.516666666666667,0.19139839163326,0.812053269747481,0.765,0.795,0.809166666666667,0.798809523809524,0.809166666666667,0.765,0.76519869019869,0.494444444444444,0.376388888888889,0.481111111111111,0.78
JNJ-26854165,0.87825,0.677182062446998,0.826944444444444,0.652992495309568,0.470163180753944,0.975491127704981,0.516666666666667,0.10458561182016,0.924821307898992,0.8,0.85,0.86,0.8475,0.86,0.8,0.808080808080808,0.494444444444444,0.397222222222222,0.473055555555556,0.825
TW 37,0.78475,0.533556809880082,0.744722222222222,0.492334494773519,0.387443800021539,0.947480161157322,0.516666666666667,0.190558984033338,0.736171431442174,0.715,0.78,0.804166666666667,0.779642857142857,0.804166666666667,0.715,0.713106338106338,0.494444444444444,0.353611111111111,0.468055555555556,0.7475
CCT018159,0.83575,0.547608557248895,0.760833333333333,0.516449590204404,0.39941032437908,0.954152143830023,0.516666666666667,0.156630585882869,0.820721332336383,0.745,0.77,0.782857142857143,0.8025,0.782857142857143,0.745,0.73979797979798,0.494444444444444,0.369722222222222,0.484166666666667,0.7575
AG-014699,0.7265,0.236821789023599,0.615555555555556,0.23109756097561,0.279949266361198,0.874248330435305,0.516666666666667,0.432806087319769,0.923415015490395,0.64,0.595,0.612142857142857,0.626666666666667,0.612142857142857,0.64,0.616414141414141,0.494444444444444,0.314722222222222,0.519444444444444,0.6175
Doxorubicin,0.8775,0.633233470248852,0.808611111111111,0.615,0.45368605294477,0.966248990925893,0.516666666666667,0.136158645596048,0.916468119887769,0.785,0.83,0.826666666666667,0.8275,0.826666666666667,0.785,0.788405483405483,0.494444444444444,0.39,0.476944444444444,0.8075
etoposide,0.8975,0.606841031251575,0.790833333333333,0.576360718870347,0.430229760199787,0.964258656082995,0.516666666666667,0.127088228720629,0.78242884008158,0.805,0.775,0.782261904761905,0.855238095238095,0.782261904761905,0.805,0.772832167832168,0.494444444444444,0.4,0.514722222222222,0.79
Gemcitabine,0.762,0.501207348832743,0.744722222222222,0.48796435272045,0.39335284550391,0.94139438306026,0.516666666666667,0.21864448538326,0.942166680242995,0.76,0.73,0.741428571428571,0.771666666666667,0.741428571428571,0.76,0.741486291486291,0.494444444444444,0.3775,0.515833333333333,0.745
Mitomycin-C,0.8405,0.565615251638667,0.773333333333333,0.549285714285714,0.418118618992856,0.950991939840559,0.516666666666667,0.172442910445188,0.88433336048599,0.775,0.78,0.798333333333333,0.778333333333333,0.798333333333333,0.775,0.775050505050505,0.494444444444444,0.381111111111111,0.494444444444444,0.7775
Vinorelbine,0.861,0.456007461613419,0.706111111111111,0.420376940133038,0.349548780730937,0.931576052868433,0.516666666666667,0.244272102283729,0.786132760371459,0.77,0.655,0.719166666666667,0.778333333333333,0.719166666666667,0.77,0.71975135975136,0.494444444444444,0.377222222222222,0.553888888888889,0.7125
NSC-87877,0.72625,0.287746906348589,0.643888888888889,0.280263157894737,0.311030363696933,0.890154503039297,0.516666666666667,0.375655630746907,0.923415015490395,0.62,0.66,0.645476190476191,0.65047619047619,0.645476190476191,0.62,0.622676767676768,0.494444444444444,0.310277777777778,0.482222222222222,0.64
Bicalutamide,0.8785,0.611197468689403,0.800833333333333,0.599915572232645,0.452019602320372,0.956688900682723,0.516666666666667,0.156616270832413,0.925642874598136,0.805,0.795,0.788095238095238,0.835,0.788095238095238,0.805,0.789365079365079,0.494444444444444,0.401111111111111,0.506944444444444,0.8
QS11,0.831,0.476397860580784,0.73,0.462334494773519,0.383781833638484,0.926274111062026,0.516666666666667,0.276735656684198,0.787193738512622,0.755,0.71,0.75,0.738571428571429,0.75,0.755,0.73522533022533,0.494444444444444,0.371111111111111,0.517777777777778,0.7325
Midostaurin,0.8325,0.511010337373159,0.747222222222222,0.491838649155722,0.388022509545748,0.948879962542212,0.516666666666667,0.18485542288326,0.909657519963893,0.765,0.725,0.726666666666667,0.807142857142857,0.726666666666667,0.765,0.732597402597403,0.494444444444444,0.381111111111111,0.520555555555556,0.745
CHIR-99021,0.89525,0.695242348917534,0.839444444444444,0.679065934065934,0.483980643589622,0.97893573476718,0.516666666666667,0.0794799676324783,0.869875030546738,0.83,0.85,0.868333333333333,0.843095238095238,0.868333333333333,0.83,0.837330447330447,0.494444444444444,0.409722222222222,0.485555555555556,0.84
AP-24534,0.7765,0.378950254932714,0.681111111111111,0.357664165103189,0.335486516971709,0.913016799871559,0.516666666666667,0.308736858803713,0.796186335608082,0.685,0.675,0.658928571428571,0.742142857142857,0.658928571428571,0.685,0.654231879231879,0.494444444444444,0.341388888888889,0.507222222222222,0.68
JNK-9L,0.8835,0.590175771815835,0.788333333333333,0.572631578947368,0.424173462564657,0.96947534212183,0.516666666666667,0.109161660445188,0.895900024437391,0.76,0.81,0.826666666666667,0.786190476190476,0.826666666666667,0.76,0.776919191919192,0.494444444444444,0.3775,0.472222222222222,0.785
PF-562271,0.822,0.555414341349115,0.771111111111111,0.543292682926829,0.420808360611106,0.951680669789569,0.516666666666667,0.187447796303713,0.947950012218695,0.735,0.81,0.808333333333333,0.758095238095238,0.808333333333333,0.735,0.762020202020202,0.494444444444444,0.365,0.464444444444444,0.7725
DMOG,0.874,0.583755078628907,0.781111111111111,0.566355643788996,0.430285385242669,0.950724457917641,0.516666666666667,0.185826178195969,0.858161019555237,0.77,0.8,0.795,0.804285714285714,0.795,0.77,0.763354978354978,0.494444444444444,0.378888888888889,0.482222222222222,0.785
FTI-277,0.861,0.601290196117184,0.793333333333333,0.585,0.456968809415989,0.93952522106625,0.516666666666667,0.179869384683511,0.787952200196146,0.76,0.825,0.846666666666667,0.773928571428571,0.846666666666667,0.76,0.78487012987013,0.494444444444444,0.371111111111111,0.454444444444444,0.7925
